,Tempo decriptografia server em ms:,Tempo criptografia server em ms:,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nós em ms:
1,0.0000579357,0.0000140667,0.0000331402,0.0000679493,0.0006079674
2,0.0000610352,0.0000400543,0.0000329018,0.0000658035,0.0005171299
3,0.0000469685,0.0000200272,0.0000221729,0.0000560284,0.0004749298
4,0.0000131130,0.0000040531,0.0000050068,0.0000119209,0.0001270771
5,0.0000619888,0.0000290871,0.0000300407,0.0000460148,0.0014069080
6,0.0000438690,0.0000209808,0.0000271797,0.0000579357,0.0004739761
7,0.0000488758,0.0000190735,0.0001218319,0.0000569820,0.0014131069
8,0.0000391006,0.0000138283,0.0000219345,0.0000350475,0.0007610321
9,0.0000729561,0.0000360012,0.0000247955,0.0000369549,0.0006401539
10,0.0000209808,0.0000059605,0.0000090599,0.0000150204,0.0002329350
