,,,
,,,
,,,
PC-PC,CHAVE 128 bits,String,
No Exp.,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nos em ms:
1,5.29289E-05,5.0068E-06,0.0011970997
2,5.31673E-05,2.00272E-05,0.0004308224
3,9.0599E-06,9.537E-07,0.0001299381
4,4.91142E-05,5.0068E-06,0.0010919571
5,4.72069E-05,3.8147E-06,0.0004379749
6,5.19753E-05,1.09673E-05,0.0014691353
7,4.79221E-05,5.0068E-06,0.0011780262
8,3.50475E-05,4.0531E-06,0.0004870892
9,4.88758E-05,5.0068E-06,0.00050807
10,4.19617E-05,5.9605E-06,0.000451088
11,4.79221E-05,5.0068E-06,0.0012381077
12,4.50611E-05,5.9605E-06,0.0004689693
13,2.40803E-05,4.0531E-06,0.0002698898
14,4.3869E-05,5.9605E-06,0.0004110336
15,3.00407E-05,4.0531E-06,0.0004839897
16,4.72069E-05,5.0068E-06,0.0003969669
17,4.79221E-05,8.1062E-06,0.0008928776
18,3.09944E-05,2.861E-06,0.0003650188
19,3.71933E-05,4.0531E-06,0.0004029274
20,4.29153E-05,4.0531E-06,0.0004351139
21,4.60148E-05,6.9141E-06,0.0004570484
22,6.29425E-05,5.9605E-06,0.0004761219
23,4.3869E-05,4.0531E-06,0.0004351139
24,3.40939E-05,5.0068E-06,0.0005400181
25,4.60148E-05,4.0531E-06,0.0004329681
26,5.29289E-05,5.0068E-06,0.0012791157
27,4.1008E-05,6.9141E-06,0.0003950596
28,4.3869E-05,5.9605E-06,0.0012090206
29,3.69549E-05,3.8147E-06,0.000439167
30,1.5974E-05,5.0068E-06,0.000180006
31,3.38554E-05,2.861E-06,0.0007591248
32,1.90735E-05,3.0994E-06,0.0009448528
33,4.88758E-05,5.9605E-06,0.0012471676
34,1.3113E-05,1.9073E-06,0.0001139641
35,1.40667E-05,1.9073E-06,0.0002241135
36,3.60012E-05,5.0068E-06,0.0004270077
37,2.09808E-05,3.0994E-06,0.0002110004
38,7.8678E-06,2.1458E-06,0.0001459122
39,4.60148E-05,4.7684E-06,0.0013260841
40,4.1008E-05,4.0531E-06,0.0004508495
41,3.69549E-05,5.0068E-06,0.0003671646
42,3.98159E-05,5.0068E-06,0.0004160404
43,4.60148E-05,4.0531E-06,0.001060009
44,2.38419E-05,3.0994E-06,0.0002400875
