,,
,,
,,
PC-PC,CHAVE 128 bits,String
No Exp.,Tempo decriptografia server em ms:,Tempo criptografia server em ms:
1,6.79493E-05,5.10216E-05
2,3.69549E-05,2.7895E-05
3,1.3113E-05,7.8678E-06
4,5.91278E-05,4.1008E-05
5,3.69549E-05,2.7895E-05
6,8.2016E-05,5.29289E-05
7,6.29425E-05,4.50611E-05
8,4.41074E-05,3.29018E-05
9,5.57899E-05,4.29153E-05
10,7.29561E-05,4.60148E-05
11,0.0001008511,4.41074E-05
12,7.10487E-05,7.60555E-05
13,3.69549E-05,2.7895E-05
14,6.69956E-05,4.48227E-05
15,5.10216E-05,4.69685E-05
16,5.6982E-05,4.50611E-05
17,6.50883E-05,4.98295E-05
18,3.8147E-05,2.7895E-05
19,3.79086E-05,2.90871E-05
20,3.69549E-05,2.81334E-05
21,6.29425E-05,4.31538E-05
22,6.58035E-05,5.10216E-05
23,3.69549E-05,2.81334E-05
24,5.88894E-05,4.91142E-05
25,3.69549E-05,2.7895E-05
26,5.57899E-05,4.31538E-05
27,5.79357E-05,4.41074E-05
28,5.38826E-05,4.88758E-05
29,4.29153E-05,2.81334E-05
30,1.81198E-05,1.38283E-05
31,4.22001E-05,2.98023E-05
32,2.59876E-05,2.09808E-05
33,6.91414E-05,6.29425E-05
34,1.69277E-05,1.21593E-05
35,1.69277E-05,1.28746E-05
36,3.69549E-05,2.81334E-05
37,2.71797E-05,2.09808E-05
38,1.69277E-05,1.21593E-05
39,4.60148E-05,3.69549E-05
40,3.19481E-05,2.40803E-05
41,4.91142E-05,3.79086E-05
42,5.00679E-05,3.88622E-05
43,3.60012E-05,2.59876E-05
44,3.40939E-05,2.59876E-05
45,4.22001E-05,2.7895E-05
46,3.31402E-05,2.38419E-05
47,5.60284E-05,3.91006E-05
48,2.7895E-05,1.78814E-05
49,3.98159E-05,2.6226E-05
50,6.19888E-05,5.50747E-05
51,2.71797E-05,2.00272E-05
52,5.60284E-05,4.1008E-05
53,3.79086E-05,2.5034E-05
54,2.00272E-05,1.50204E-05
55,5.19753E-05,4.1008E-05
56,6.00815E-05,4.98295E-05
57,2.7895E-05,1.78814E-05
58,3.69549E-05,2.7895E-05
59,5.6982E-05,4.60148E-05
60,5.10216E-05,3.91006E-05
61,1.90735E-05,1.40667E-05
62,5.29289E-05,4.19617E-05
63,5.6982E-05,4.3869E-05
64,4.50611E-05,2.7895E-05
65,4.00543E-05,2.7895E-05
66,3.60012E-05,2.69413E-05
67,4.41074E-05,3.00407E-05
68,5.6982E-05,4.41074E-05
69,3.8147E-05,2.88486E-05
70,0.0001080036,4.41074E-05
71,6.8903E-05,2.81334E-05
72,3.88622E-05,2.81334E-05
73,7.10487E-05,4.88758E-05
74,5.50747E-05,4.29153E-05
75,2.12193E-05,1.69277E-05
76,5.6982E-05,4.31538E-05
77,1.69277E-05,1.19209E-05
78,6.19888E-05,4.48227E-05
79,9.08375E-05,6.91414E-05
80,5.29289E-05,3.88622E-05
81,7.98702E-05,4.79221E-05
82,6.69956E-05,5.10216E-05
83,7.08103E-05,4.60148E-05
84,3.71933E-05,2.98023E-05
85,3.69549E-05,2.81334E-05
86,5.6982E-05,4.50611E-05
87,3.69549E-05,2.81334E-05
88,6.00815E-05,4.1008E-05
89,3.79086E-05,2.7895E-05
90,5.6982E-05,4.69685E-05
91,5.6982E-05,4.29153E-05
92,6.41346E-05,4.88758E-05
